short_name,player_positions,overall,potential,age,club_team_id,club_name,league_id,league_name,nationality_id,nationality_name,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,pace,shooting,passing,dribbling,defending,physic,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed
G. Donnarumma,GK,87,90,24,73,Paris Saint Germain,16,Ligue 1,27,Italy,Right,3,1,3,Medium/Medium,,,,,,,90,82,79,83,89,52
L. MartÃ­nez,ST,87,90,25,44,Inter,31,Serie A,52,Argentina,Right,4,4,3,High/Medium,80,86,71,85,48,85,11,8,8,8,13,
G. Kobel,GK,87,90,25,22,Borussia Dortmund,19,Bundesliga,47,Switzerland,Right,3,1,3,Medium/Medium,,,,,,,86,84,74,85,89,44
M. Maignan,GK,87,89,27,47,Milan,31,Serie A,18,France,Right,4,1,3,Medium/Medium,,,,,,,85,82,87,85,89,51
Marquinhos,CB,87,88,29,73,Paris Saint Germain,16,Ligue 1,54,Brazil,Right,3,3,3,Medium/High,78,56,75,74,89,80,6,6,12,10,13,
M. Neuer,GK,87,87,37,21,FC Bayern MÃ¼nchen,19,Bundesliga,21,Germany,Right,4,1,5,Medium/Medium,,,,,,,84,85,90,88,84,49
L. ModriÄ‡,CM,87,87,37,243,Real Madrid,53,La Liga,10,Croatia,Right,4,4,4,Medium/Medium,72,76,89,87,72,66,13,9,7,14,9,
H. Son,LW,87,87,30,18,Tottenham Hotspur,13,Premier League,167,Korea Republic,Right,5,4,4,High/Medium,87,88,80,84,42,70,11,13,13,6,10,
J. Musiala,"CAM, CM, LM",86,93,20,21,FC Bayern MÃ¼nchen,19,Bundesliga,21,Germany,Right,4,5,3,Medium/Medium,85,75,76,91,63,61,6,9,8,8,11,
K. Kvaratskhelia,"LW, RW",86,92,22,48,Napoli,31,Serie A,20,Georgia,Right,5,5,2,Medium/Medium,84,80,81,87,41,71,9,15,8,14,8,
Pedri,CM,86,92,20,241,FC Barcelona,53,La Liga,45,Spain,Right,4,4,3,High/High,78,69,82,88,70,74,12,7,11,8,8,
Rafael LeÃ£o,"LW, CF, ST",86,91,24,47,Milan,31,Serie A,38,Portugal,Right,4,4,2,Medium/Low,93,80,75,87,27,76,10,12,15,11,9,
J. Bellingham,"CM, CAM",86,91,20,243,Real Madrid,53,La Liga,14,England,Right,4,4,3,High/High,76,78,80,85,78,82,14,11,10,5,8,
R. Araujo,"CB, RB",86,91,24,241,FC Barcelona,53,La Liga,60,Uruguay,Right,3,2,3,Medium/High,79,51,65,62,86,84,11,14,9,11,8,
B. Saka,"RW, RM",86,90,21,1,Arsenal,13,Premier League,14,England,Left,3,3,2,High/Medium,85,81,79,87,60,70,7,8,13,9,13,
M. de Ligt,CB,86,89,23,21,FC Bayern MÃ¼nchen,19,Bundesliga,34,Netherlands,Right,3,2,3,Medium/High,66,61,64,68,85,86,12,11,11,12,10,
Ã‰der MilitÃ£o,CB,86,89,25,243,Real Madrid,53,La Liga,54,Brazil,Right,3,2,3,Medium/High,85,50,69,71,86,82,11,8,15,12,15,
S. Tonali,"CDM, CM",86,89,23,13,Newcastle United,13,Premier League,27,Italy,Right,4,3,3,Medium/High,84,74,81,81,82,84,13,9,8,7,7,
N. Barella,CM,86,88,26,44,Inter,31,Serie A,27,Italy,Right,3,3,3,High/High,78,78,82,85,78,80,11,5,13,14,11,
T. Alexander-Arnold,RB,86,88,24,9,Liverpool,13,Premier League,14,England,Right,4,3,3,High/Medium,76,69,90,79,80,73,14,15,14,6,7,
C. Nkunku,"CF, CAM, ST",86,88,25,5,Chelsea,13,Premier League,18,France,Right,3,5,3,Medium/Medium,82,81,83,88,62,67,5,6,10,15,7,
O. DembÃ©lÃ©,"RW, LW",86,87,26,73,Paris Saint Germain,16,Ligue 1,18,France,Left,5,5,3,High/Medium,93,77,81,87,36,57,6,6,14,10,13,
Cristiano Ronaldo,ST,86,86,38,112139,Al Nassr,350,Pro League,38,Portugal,Right,4,5,5,High/Low,77,88,75,80,34,74,7,11,15,14,11,
T. Kroos,"CM, CDM",86,86,33,243,Real Madrid,53,La Liga,21,Germany,Right,5,3,4,Medium/Medium,51,80,90,81,70,71,10,11,13,7,10,
W. SzczÄ™sny,GK,86,86,33,45,Juventus,31,Serie A,37,Poland,Right,3,1,3,Medium/Medium,,,,,,,86,83,73,86,87,49
Ä°. GÃ¼ndoÄŸan,"CM, CDM",86,86,32,241,FC Barcelona,53,La Liga,21,Germany,Right,4,4,3,High/Medium,62,81,84,86,72,73,11,14,5,5,13,
Parejo,"CM, CDM",86,86,34,483,Villarreal,53,La Liga,45,Spain,Right,4,3,2,Medium/Medium,49,83,90,80,73,69,5,9,12,14,8,
R. Mahrez,"RM, RW",86,86,32,112387,Al Ahli Jeddah,350,Pro League,97,Algeria,Left,4,5,3,Medium/Medium,79,81,81,89,38,60,15,9,13,11,6,
S. ManÃ©,"CF, LM, ST",86,86,31,112139,Al Nassr,350,Pro League,136,Senegal,Right,4,4,4,Medium/Medium,85,83,79,87,44,74,10,10,15,7,14,
JoÃ£o Cancelo,"LB, RB",86,86,29,241,FC Barcelona,53,La Liga,38,Portugal,Right,4,4,3,High/Low,81,73,85,84,80,72,6,9,15,14,14,
P. Dybala,"CF, CAM",86,86,29,52,Roma,31,Serie A,52,Argentina,Left,3,4,3,High/Low,80,85,85,90,40,60,5,4,4,5,8,
N. KantÃ©,"CDM, CM",86,86,32,607,Al Ittihad,350,Pro League,18,France,Right,3,2,4,Medium/High,69,65,73,80,85,77,15,12,10,7,10,
A. Robertson,LB,86,86,29,9,Liverpool,13,Premier League,42,Scotland,Left,2,3,3,High/High,80,61,82,81,81,77,11,8,10,7,14,
S. MilinkoviÄ‡-SaviÄ‡,CM,86,86,28,605,Al Hilal,350,Pro League,51,Serbia,Right,5,4,3,High/Medium,68,80,82,82,79,86,7,10,7,16,7,
Rodrygo,"RW, LW, ST",85,91,22,243,Real Madrid,53,La Liga,54,Brazil,Right,4,4,3,Medium/Medium,88,81,79,86,31,62,9,8,12,8,5,
F. Wirtz,"CAM, CM",85,91,20,32,Bayer 04 Leverkusen,19,Bundesliga,21,Germany,Right,4,4,3,High/Medium,74,76,83,87,52,63,14,14,13,6,10,
T. HernÃ¡ndez,"LB, LM",85,90,25,47,Milan,31,Serie A,18,France,Left,3,3,3,High/Medium,93,71,76,81,78,84,12,10,7,7,7,
A. Bastoni,CB,85,90,24,44,Inter,31,Serie A,27,Italy,Left,3,2,2,Medium/High,73,35,72,73,86,83,11,5,9,11,12,
P. Foden,"LW, RW",85,90,23,10,Manchester City,13,Premier League,14,England,Left,3,4,3,High/High,81,79,82,88,57,60,8,15,6,10,13,
J. KoundÃ©,"CB, RB",85,89,24,241,FC Barcelona,53,La Liga,18,France,Right,3,3,3,High/High,84,45,68,75,86,80,11,10,8,14,13,
M. Rashford,"LW, LM, ST",85,88,25,11,Manchester United,13,Premier League,14,England,Right,3,5,3,High/Low,90,86,78,84,42,74,11,6,15,7,14,
Diogo Jota,"CF, LW",85,87,26,9,Liverpool,13,Premier League,38,Portugal,Right,5,4,2,High/High,82,82,75,85,57,77,7,12,15,9,11,
D. Rice,"CDM, CM",85,87,24,1,Arsenal,13,Premier League,14,England,Right,3,2,3,Medium/High,71,65,75,77,83,83,8,11,14,5,9,
J. Stones,"CB, RB",85,86,29,10,Manchester City,13,Premier League,14,England,Right,4,3,2,High/Medium,72,52,75,77,85,77,7,15,11,10,8,
A. Laporte,CB,85,86,29,112139,Al Nassr,350,Pro League,45,Spain,Left,3,2,3,Medium/Medium,61,50,73,69,86,78,10,11,5,14,5,
A. Onana,GK,85,86,27,11,Manchester United,13,Premier League,103,Cameroon,Right,3,1,3,Medium/Medium,,,,,,,83,80,88,84,85,61
K. Trippier,RB,85,85,32,13,Newcastle United,13,Premier League,14,England,Right,4,3,2,Medium/Medium,68,65,86,79,82,72,11,14,8,11,10,
K. Trapp,GK,85,85,32,1824,Eintracht Frankfurt,19,Bundesliga,21,Germany,Right,4,1,3,Medium/Medium,,,,,,,83,81,77,85,86,46
C. Immobile,ST,85,85,33,46,Lazio,31,Serie A,27,Italy,Right,4,3,4,High/Medium,85,87,68,78,39,74,6,8,15,12,6,
Iago Aspas,ST,85,85,35,450,Celta de Vigo,53,La Liga,45,Spain,Left,4,3,3,High/High,81,85,79,86,35,64,12,16,9,12,13,
K. Navas,GK,85,85,36,73,Paris Saint Germain,16,Ligue 1,72,Costa Rica,Right,3,1,3,Medium/Medium,,,,,,,84,80,75,84,87,54
D. Alaba,"CB, LB",85,85,31,243,Real Madrid,53,La Liga,4,Austria,Left,4,3,4,Medium/High,79,71,83,80,85,77,5,7,14,15,9,
R. Varane,CB,85,85,30,11,Manchester United,13,Premier League,18,France,Right,4,2,3,Medium/High,79,49,64,67,86,78,11,11,9,5,14,
E. MartÃ­nez,GK,85,85,30,2,Aston Villa,13,Premier League,52,Argentina,Right,4,1,3,Medium/Medium,,,,,,,83,83,82,84,85,58
A. RÃ¼diger,CB,85,85,30,243,Real Madrid,53,La Liga,21,Germany,Right,3,2,3,High/High,82,54,71,66,84,86,14,15,10,12,8,
J. Grealish,"LW, LM",85,85,27,10,Manchester City,13,Premier League,14,England,Right,3,4,3,High/High,76,76,84,88,53,73,11,6,11,10,13,
H. Ã‡alhanoÄŸlu,"CM, CDM",85,85,29,44,Inter,31,Serie A,48,Turkey,Right,4,4,3,High/Medium,67,80,86,85,70,66,9,14,11,6,10,
L. Goretzka,"CM, CDM",85,85,28,21,FC Bayern MÃ¼nchen,19,Bundesliga,21,Germany,Right,4,3,4,High/Medium,78,81,81,83,80,86,13,8,15,11,9,
Y. Bounou,GK,85,85,32,605,Al Hilal,350,Pro League,129,Morocco,Left,2,1,3,Medium/Medium,,,,,,,82,83,79,84,87,38
T. Partey,"CDM, CM",85,85,30,1,Arsenal,13,Premier League,117,Ghana,Right,3,3,2,Medium/High,68,71,82,80,81,82,11,13,9,9,7,
D. Berardi,"RW, RM",85,85,28,111974,Sassuolo,31,Serie A,27,Italy,Left,3,4,2,High/Medium,82,83,81,87,36,72,5,6,5,5,6,
K. Coman,"LM, RM",85,85,27,21,FC Bayern MÃ¼nchen,19,Bundesliga,18,France,Right,3,5,4,Medium/Medium,89,76,79,87,30,62,5,3,5,3,5,
G. Di Lorenzo,RB,85,85,29,48,Napoli,31,Serie A,27,Italy,Right,3,3,2,High/Medium,85,67,75,79,82,82,8,10,8,10,7,
M. AcuÃ±a,"LB, LM",85,85,31,481,Sevilla,53,La Liga,52,Argentina,Left,3,3,3,High/High,75,74,83,83,81,84,8,14,13,13,14,
A. TchouamÃ©ni,"CDM, CM",84,89,23,243,Real Madrid,53,La Liga,18,France,Right,3,3,3,Medium/High,73,69,79,78,81,81,9,8,12,12,7,
I. Bennacer,"CDM, CM, CAM",84,88,25,47,Milan,31,Serie A,97,Algeria,Left,3,4,2,High/Medium,80,72,81,86,79,78,9,12,10,16,15,
F. Tomori,CB,84,88,25,47,Milan,31,Serie A,14,England,Right,4,2,2,Medium/High,86,40,59,66,86,82,10,13,10,11,7,
M. Diaby,"RM, LM",84,88,23,2,Aston Villa,13,Premier League,18,France,Left,3,4,3,High/Low,95,73,75,86,42,59,8,9,8,8,14,
Gabriel Martinelli,"LW, LM",84,88,22,1,Arsenal,13,Premier League,54,Brazil,Right,3,4,2,High/High,89,78,76,86,46,72,10,6,7,6,6,
A. Ramsdale,GK,84,87,25,1,Arsenal,13,Premier League,14,England,Right,3,1,2,Medium/Medium,,,,,,,84,79,87,81,86,48
R. Kolo Muani,"ST, RM",84,87,24,73,Paris Saint Germain,16,Ligue 1,18,France,Right,4,4,3,High/Medium,91,78,73,86,38,67,7,14,15,8,5,
L. MartÃ­nez,CB,84,87,25,11,Manchester United,13,Premier League,52,Argentina,Left,3,3,2,Medium/High,73,59,78,79,85,83,6,14,13,14,8,
Bremer,CB,84,87,26,45,Juventus,31,Serie A,54,Brazil,Right,2,2,1,Medium/High,80,50,56,65,85,83,13,15,13,5,6,
Bruno GuimarÃ£es,"CM, CDM",84,87,25,13,Newcastle United,13,Premier League,54,Brazil,Right,2,3,2,High/High,71,74,81,84,80,81,7,11,15,11,11,
N. SÃ¼le,"CB, RB",84,86,27,22,Borussia Dortmund,19,Bundesliga,21,Germany,Right,3,3,3,Medium/Medium,73,51,68,62,85,85,15,7,14,7,15,
RÃºben Neves,"CDM, CM",84,86,26,605,Al Hilal,350,Pro League,38,Portugal,Right,4,3,3,Medium/High,60,75,86,77,76,73,16,12,10,8,10,
Ãlex Remiro,GK,84,86,28,457,Real Sociedad,53,La Liga,45,Spain,Right,4,1,2,Medium/Medium,,,,,,,84,78,80,86,86,42
Gabriel,CB,84,86,25,1,Arsenal,13,Premier League,54,Brazil,Left,2,2,2,Medium/High,70,41,62,60,85,82,12,8,13,10,7,
A. Hakimi,"RB, RWB",84,86,24,73,Paris Saint Germain,16,Ligue 1,129,Morocco,Right,4,4,3,High/Low,92,75,80,80,75,78,10,8,14,6,8,
Kim Min Jae,CB,84,86,26,21,FC Bayern MÃ¼nchen,19,Bundesliga,167,Korea Republic,Right,3,2,2,Low/High,80,33,58,64,85,84,13,7,11,14,11,
R. James,"RB, RWB",84,86,23,5,Chelsea,13,Premier League,14,England,Right,3,3,2,High/Medium,80,72,83,82,82,81,8,12,7,13,11,
J. Brandt,"CAM, RM, CM",84,85,27,22,Borussia Dortmund,19,Bundesliga,21,Germany,Right,4,4,3,Medium/Medium,71,80,84,86,51,70,11,16,11,8,9,
P. HÃ¸jbjerg,"CDM, CM",84,85,27,18,Tottenham Hotspur,13,Premier League,13,Denmark,Right,4,3,2,High/High,55,73,78,78,81,82,9,7,12,11,11,
J. Maddison,"CAM, RM, CM",84,85,26,18,Tottenham Hotspur,13,Premier League,14,England,Right,4,4,2,High/Medium,71,81,86,86,54,63,11,14,14,12,14,
L. HernÃ¡ndez,"CB, LB",84,85,27,73,Paris Saint Germain,16,Ligue 1,18,France,Left,2,2,3,Medium/Medium,76,54,70,70,84,78,10,7,8,14,10,
Mikel Merino,"CM, CAM, LM",84,85,27,457,Real Sociedad,53,La Liga,45,Spain,Left,3,3,2,High/High,72,78,82,82,83,82,9,12,9,13,14,
Gabriel Jesus,"ST, RW",84,85,26,1,Arsenal,13,Premier League,54,Brazil,Right,3,4,2,High/High,83,82,75,88,40,77,13,8,6,6,15,
Raphinha,RW,84,85,26,241,FC Barcelona,53,La Liga,54,Brazil,Left,4,4,3,High/High,91,79,78,86,53,73,8,7,13,8,14,
F. Chiesa,"LM, LW, RW",84,85,25,45,Juventus,31,Serie A,27,Italy,Right,4,4,3,High/Medium,91,82,76,86,53,75,6,7,8,9,7,
L. DÃ­az,"LW, LM",84,85,26,9,Liverpool,13,Premier League,56,Colombia,Right,4,4,2,High/Medium,91,81,75,87,34,74,10,13,13,14,14,
Thiago Silva,CB,84,84,38,5,Chelsea,13,Premier League,54,Brazil,Right,3,2,4,Medium/High,51,54,74,72,87,74,9,12,5,9,10,
Y. Sommer,GK,84,84,34,44,Inter,31,Serie A,47,Switzerland,Right,4,1,3,Medium/Medium,,,,,,,78,79,83,84,90,50
P. GulÃ¡csi,GK,84,84,33,112172,RB Leipzig,19,Bundesliga,23,Hungary,Right,2,1,3,Medium/Medium,,,,,,,85,84,76,83,84,43
K. Walker,RB,84,84,33,10,Manchester City,13,Premier League,14,England,Right,2,3,3,High/High,90,63,77,78,79,81,12,6,16,15,8,
Thiago,CM,84,84,32,9,Liverpool,13,Premier League,45,Spain,Right,3,5,3,Medium/Medium,61,72,86,89,71,67,6,11,7,9,13,
T. MÃ¼ller,"CAM, CF, ST",84,84,33,21,FC Bayern MÃ¼nchen,19,Bundesliga,21,Germany,Right,4,3,4,High/High,59,82,83,79,55,69,6,7,11,14,14,
C. Smalling,CB,84,84,33,52,Roma,31,Serie A,14,England,Right,3,2,3,Medium/High,62,47,58,62,87,82,10,15,16,15,15,
R. Lukaku,ST,84,84,30,52,Roma,31,Serie A,7,Belgium,Left,4,3,4,Medium/Low,80,84,74,77,38,82,8,15,14,7,10,
K. Casteels,GK,84,84,31,175,VfL Wolfsburg,19,Bundesliga,7,Belgium,Left,2,1,3,Medium/Medium,,,,,,,84,82,77,85,86,45
Koke,"CDM, CM",84,84,31,240,AtlÃ©tico Madrid,53,La Liga,45,Spain,Right,4,3,3,Medium/Medium,69,72,85,79,79,78,14,12,5,10,13,
Luis Alberto,CM,84,84,30,46,Lazio,31,Serie A,45,Spain,Right,3,4,2,Medium/Medium,69,77,85,84,62,58,6,8,6,12,11,
K. Koulibaly,CB,84,84,32,605,Al Hilal,350,Pro League,136,Senegal,Right,4,2,3,Medium/High,76,48,63,68,84,83,7,11,7,13,5,
M. Depay,"CF, LW, ST",84,84,29,240,AtlÃ©tico Madrid,53,La Liga,34,Netherlands,Right,3,5,4,High/Low,82,82,81,85,30,80,8,14,6,12,10,
N. Pope,GK,84,84,31,13,Newcastle United,13,Premier League,14,England,Right,3,1,2,Medium/Medium,,,,,,,82,83,75,84,86,49
S. Gnabry,"RM, ST, LM",84,84,27,21,FC Bayern MÃ¼nchen,19,Bundesliga,21,Germany,Right,4,4,3,Medium/Medium,81,84,78,84,43,68,14,10,10,9,7,
M. Ginter,CB,84,84,29,25,SC Freiburg,19,Bundesliga,21,Germany,Right,3,2,3,High/Medium,60,59,71,66,85,80,12,10,6,8,10,
Y. Carrasco,"LW, LWB",84,84,29,111674,Al Shabab,350,Pro League,7,Belgium,Right,4,4,3,High/High,88,81,80,85,59,66,9,11,9,10,10,
Fabinho,CDM,84,84,29,607,Al Ittihad,350,Pro League,54,Brazil,Right,2,3,3,Medium/High,59,69,78,77,82,82,13,12,6,8,8,
A. Rabiot,"CM, LM",84,84,28,45,Juventus,31,Serie A,18,France,Left,3,3,2,Medium/Medium,78,76,80,80,82,84,9,12,9,7,15,
Grimaldo,"LWB, LM",84,84,27,32,Bayer 04 Leverkusen,19,Bundesliga,45,Spain,Left,2,3,3,High/Medium,87,69,83,84,76,72,7,13,10,7,13,
R. De Paul,CM,84,84,29,240,AtlÃ©tico Madrid,53,La Liga,52,Argentina,Right,3,4,3,High/Medium,78,77,83,82,75,83,13,12,10,7,14,
S. Lobotka,"CM, CDM",84,84,28,48,Napoli,31,Serie A,43,Slovakia,Right,4,3,2,Medium/Medium,71,70,81,83,77,75,10,7,16,13,14,
L. SanÃ©,"RM, LM",84,84,27,21,FC Bayern MÃ¼nchen,19,Bundesliga,21,Germany,Left,2,4,3,Medium/Medium,91,81,80,85,38,68,8,12,9,9,14,
Marcos Llorente,"RM, CM, RB",84,84,28,240,AtlÃ©tico Madrid,53,La Liga,45,Spain,Right,4,3,3,High/Medium,89,78,79,80,78,81,13,6,6,11,15,
M. Å kriniar,CB,84,84,28,73,Paris Saint Germain,16,Ligue 1,43,Slovakia,Right,3,2,3,Low/High,78,41,57,67,86,83,10,13,12,8,12,
Gavi,"CM, LW",83,90,18,241,FC Barcelona,53,La Liga,45,Spain,Right,3,3,3,High/High,76,66,78,85,68,70,8,10,11,7,13,
W. Saliba,CB,83,89,22,1,Arsenal,13,Premier League,18,France,Right,3,2,2,Medium/High,82,39,69,73,84,82,7,10,6,8,11,
E. FernÃ¡ndez,"CM, CDM",83,89,22,5,Chelsea,13,Premier League,52,Argentina,Right,4,3,3,High/High,73,73,81,80,75,79,8,6,7,8,10,
A. Davies,"LB, LM",83,88,22,21,FC Bayern MÃ¼nchen,19,Bundesliga,70,Canada,Left,4,4,3,High/Low,95,66,78,84,74,77,11,11,6,5,14,
C. Gakpo,"CF, LW",83,88,24,9,Liverpool,13,Premier League,34,Netherlands,Right,4,4,2,Medium/Medium,85,82,78,84,42,73,15,11,7,9,5,
D. VlahoviÄ‡,ST,83,88,23,45,Juventus,31,Serie A,51,Serbia,Left,3,3,2,Medium/Medium,80,85,66,79,29,82,5,15,6,11,10,
N. Schlotterbeck,CB,83,88,23,22,Borussia Dortmund,19,Bundesliga,21,Germany,Left,2,3,3,High/High,78,58,67,73,85,82,8,10,8,14,13,
J. Frimpong,"RWB, RM",83,88,22,32,Bayer 04 Leverkusen,19,Bundesliga,34,Netherlands,Right,3,3,2,High/Medium,94,56,75,84,74,70,12,7,8,13,14,
Dani Olmo,"CAM, CF",83,87,25,112172,RB Leipzig,19,Bundesliga,45,Spain,Right,4,4,3,Medium/High,68,76,82,86,50,59,15,15,13,12,11,
S. Botman,CB,83,87,23,13,Newcastle United,13,Premier League,34,Netherlands,Left,3,2,2,Medium/High,65,37,63,66,84,84,12,9,8,6,14,
Unai SimÃ³n,GK,83,86,26,448,Athletic Club,53,La Liga,45,Spain,Right,3,1,3,Medium/Medium,,,,,,,84,79,77,84,85,49
Pau Torres,CB,83,86,26,2,Aston Villa,13,Premier League,45,Spain,Left,3,2,3,Medium/High,72,38,68,70,84,81,11,13,13,13,9,
A. Christensen,CB,83,85,27,241,FC Barcelona,53,La Liga,13,Denmark,Right,3,2,2,Low/Medium,67,32,68,71,85,76,10,12,8,6,8,
J. GimÃ©nez,CB,83,85,28,240,AtlÃ©tico Madrid,53,La Liga,60,Uruguay,Right,3,2,2,Medium/High,71,46,58,61,85,82,9,11,7,10,15,
A. Meret,GK,83,85,26,48,Napoli,31,Serie A,27,Italy,Left,3,1,2,Medium/Medium,,,,,,,83,80,72,83,86,44
G. Mancini,CB,83,85,27,52,Roma,31,Serie A,27,Italy,Right,3,2,2,Medium/High,67,45,54,62,83,86,13,12,8,6,8,
K. Laimer,"CDM, CM",83,84,26,21,FC Bayern MÃ¼nchen,19,Bundesliga,4,Austria,Right,3,3,3,Medium/High,80,69,77,78,81,79,9,12,12,13,12,
G. RodrÃ­guez,CDM,83,84,28,449,Real Betis,53,La Liga,52,Argentina,Right,4,2,2,Medium/High,51,58,72,70,85,80,12,11,14,16,6,
B. Pavard,"CB, RB",83,84,27,44,Inter,31,Serie A,18,France,Right,3,3,3,Medium/Medium,70,62,73,72,85,78,9,7,15,7,15,
A. Zambo Anguissa,"CDM, CM",83,84,27,48,Napoli,31,Serie A,103,Cameroon,Right,3,3,1,High/Medium,78,68,72,81,81,86,11,11,9,8,11,
L. Pellegrini,"CAM, CM, CF",83,84,27,52,Roma,31,Serie A,27,Italy,Right,4,3,2,High/High,79,76,83,83,74,78,12,7,10,13,11,
Palhinha,"CDM, CM",83,84,27,144,Fulham,13,Premier League,38,Portugal,Right,4,2,2,Medium/High,62,67,71,76,84,89,14,10,8,7,7,
Oyarzabal,"LM, RM, LW",83,84,26,457,Real Sociedad,53,La Liga,45,Spain,Left,3,3,3,High/Medium,77,83,80,83,41,62,10,6,10,13,11,
P. Schick,ST,83,84,27,32,Bayer 04 Leverkusen,19,Bundesliga,12,Czech Republic,Left,3,4,3,Medium/Medium,79,80,71,81,37,76,11,15,8,9,14,
Sergio Ramos,CB,83,83,37,481,Sevilla,53,La Liga,45,Spain,Right,3,3,4,High/Medium,57,69,73,70,83,76,11,8,9,7,11,
H. Lloris,GK,83,83,36,18,Tottenham Hotspur,13,Premier League,18,France,Left,1,1,4,Medium/Medium,,,,,,,85,80,70,81,86,60
